what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1322735666653
java.specification.name,sysinfo,,,"Java Platform API Specification",1322735666653
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322735666653
java.specification.version,sysinfo,,,"1.6",1322735666653
java.vendor,sysinfo,,,"Apple Inc.",1322735666653
java.version,sysinfo,,,"1.6.0_26",1322735666653
java.vm.info,sysinfo,,,"mixed mode",1322735666653
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322735666653
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322735666653
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322735666653
java.vm.specification.version,sysinfo,,,"1.0",1322735666653
java.vm.vendor,sysinfo,,,"Apple Inc.",1322735666653
java.vm.version,sysinfo,,,"20.1-b02-384",1322735666653
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322735666691
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1322735666697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322739268059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322739270193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322742598572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322742610491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322744333228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322744336556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791521548
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1322791523943
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1322791524093
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1322791524156
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1322791527542
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1322791527596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791527699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791536179
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1322791536323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791541751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791663572
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1322791663697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791669946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791732504
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1322791732534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791734699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791736412
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322791736725
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1322791737499
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1322791737511
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1322791737899
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1322791737917
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1322791737946
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1322791737946
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1322791737965
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1322791738002
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1322791738020
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1322791738036
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1322791738056
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1322791781004
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1322791781005
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1322791781009
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1322791781016
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1322791781022
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1322791781029
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1322791781035
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1322791781043
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1322791781054
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1322791781060
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1322791781069
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1322791781079
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1322791781083
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1322791781090
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1322791781099
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1322791781101
